nid,title,email,phone,address,website,location,budget,rating,opening_hour,closing_hour,treatments
163,Rama Spa Beach,info@ambientespabali.com,+(62 361) 75 15 57,"Jln. Jenggala Tuban, Kuta, Bali.",http://ramaspabali.com/ramabeach_treatment.html,Tabanan,3,3,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
164,Ivory Spa,info@gaiada.com,,"Jl. Raya Petitenget, Br. Umasari, Seminyak, Bali",https://www.gaiada.com/,Seminyak,3,3,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
165,Galuh Bali Spa,info@gaiada.com,+(62 361) 743666,"Jl. By Pass Ngurah Rai, Kuta, Bali",http://www.galuhspa.com,Seminyak,2,3,10:00am,6:00pm,Aromatherapy; Ayuverda; Facial; Female Masseuse; Manicure Pedicure; Massage; Reflexology
166,Theta Spa,bythesea@thetaspa.com,+(62 361) 75 57 26,"Jln. Kartika Plaza, Kuta, Bali",http://www.thetaspa.com,Kuta,3,3,10:00am,6:00pm,Female Masseuse; Massage; Reflexology
167,Sudajiva Spa,spa@sudamalaresorts.com,+(62 361) 28 85 55,"Jln. Sudamala No. 20, Sanur, Bali.",http://www.sudamalaresorts.com/sanur/inside-and-around/sudajiva-spa.html,Sanur,3,3,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Manicure Pedicure; Reflexology
169,Jamahal Spa,info@jamahal.net,+(62 361) 704394,"Jalan Uluwatu 1, Jimbaran, Bali",http://www.jamahal.net/#/spa,Nusa Dua,4,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Waxing; Aromatherapy; Facial; Manicure Pedicure
170,Adi Spa Bali,info@gaiada.com,+(62 361) 77 69 95,"Jln. By Pass Ngurah Rai 501, Nusa Dua, Bali.",https://www.gaiada.com/,Nusa Dua,2,4,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
171,Akhyati Spa,sales@akhyativillas.com,+(62 361) 847 50 22,"Jln. Bumbak Dauh 88X, Umalas, Kerobokan, Bali.",http://www.grandakhyati.com/spa.html,Seminyak,3,3,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy
172,Taman Merah Spa ,info@tamanmerahspa.com,+(62 361) 473 66 56,"Jl. Raya Petitenget 469 Seminyak, Kuta, Bali",https://www.gaiada.com/,Seminyak,2,4,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy
173,Orchid Spa,spa@watergardenhotel.com,+(62 363) 41540,"Jln. Raya Candidasa, Candidasa, Bali.",http://www.watergardenhotel.com/spa/,Candidasa,2,3,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Waxing; Aromatherapy; Facial; Manicure Pedicure
174,Ayana Resort and Spa Bali,info@ayanaresort.com,+62 361 702222,"Jln. Karang Mas Sejahtera, Jimbaran, Bali.",https://www.ayana.com/bali/ayana-resort-and-spa,Jimbaran,5,5,10:00am,6:00pm,Aromatherapy; Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
176,Sari Spa,sales@sarisegara.com,+(62 361) 70 36 47 Ext 304,"Jln. Pantai Kedongan, Jimbaran, Bali.",http://www.sarisegara.com/spa.php,Kuta,4,4,10:00am,6:00pm,Female Masseuse; Hairdresser; Massage; Aromatherapy; Manicure Pedicure; Reflexology
177,Malkoha Spa,sales@gendingkedis.com,+(62 361) 70 89 06,"Jln. Karang Mas Sejahtera 100Y, Jimbaran Bay, Bali",http://www.gendingkedis.com/spa-salon-fitness-centre/,Nusa Dua,3,4,10:00am,6:00pm,Ayuverda; Hairdresser; Massage; Waxing; Facial; Female Masseuse; Manicure Pedicure
178,Waroeng Djamoe Spa,bali@tuguhotels.com,+(62 361) 4731 701,"Jln. Pantai Batu Bolong, Canggu, Bali.",https://www.tuguhotels.com/hotels/bali/spa-wellness/,Canggu,4,4,10:00am,6:00pm,Female Masseuse; Massage; Meditation; Reiki; Aromatherapy; Manicure Pedicure; Facial
179,Putu Bali Spa,sales@putubalivilla.com,+(62 361) 473 96 59,"Jln. Petitenget 72X, Seminyak, Bali",http://www.putubalivilla.com/spa.php,Seminyak,3,3,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
180,Henna Spa,info@balquisse.com,+(62 361) 70 16 95,"Jln. Uluwatu 18 x, Jimbaran, Bali.",http://www.balquisse.com,Jimbaran,4,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
182,Athena Spa & Massage,resv@athenagardenvilla.com,+(62 361) 73 87 56,"JI. Athena II No.3 Padang Sumbu, Denpasar Barat, Seminyak, Bali.",http://www.athenagardenvilla.com,Seminyak,2,3,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure
183,Bali Ratu Spa Tiara,info@baliratuspa.com,+(62 361) 753 464,"Jalan Kartika Plaza 18, Kuta, Bali",http://www.baliratuspa.com/company-profile-tiara/,Nusa Dua,4,3,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Manicure Pedicure; Facial
184,PiPs Spa,info@gaiada.com,,"Jalan Melasti Legian, Kuta, Bali",https://www.gaiada.com/,Legian,1,4,10:00am,6:00pm,Female Masseuse; Male Masseuse; Massage; Waxing; Facial; Manicure Pedicure; Reflexology
185,Inner Glow Spa Benesari,info@gaiada.com,,"Jalan Benesari no. 15 Legian, Kuta, Bali",https://www.gaiada.com/,Legian,2,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
186,Inner Glow Padma,info@gaiada.com,+(62) 857) 3766 7937,"Jalan Padma Utara, Legian, Kuta, Bali",https://www.gaiada.com/,Legian,2,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage
187,Inner Glow Kuta Beach,info@innerglowbalispa.com,+(62 361) 762 891,"Jl. Pantai Kuta, Kuta, Bali",http://innerglowbalispa.com/,Kuta,2,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
188,Inner Glow Legian,info@gaiada.com,+(62)(0) 857 3766 7937,"Jalan Legian, Kuta, Bali",https://www.gaiada.com/,Legian,2,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage
189,The Legian Spa,spa@thelegianbali.com.,+(62 361) 731 284,"Jalan Kayu Aya, Seminyak Beach, Bali",http://www.ghmhotels.com/en/the-legian-bali,Seminyak,4,4,10:00am,6:00pm,Female Masseuse; Massage; Waxing; Aromatherapy; Manicure Pedicure; Reflexology
192,Alam Wangi Spa,alamwangispa04@gmail.com,+62 361 976718,"Jalan Nyuh Kuning,Br. Nyuh Kuning, Ubud, Bali",http://www.alamindahbali.com/,Ubud,3,3,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage
193,Aoioka Spa,info@gaiada.com,+(62 361) 918 93 52,"Jl. Monkey Forest, behind Lotus Lane Restaurant, Ubud",https://www.gaiada.com/,Tabanan,1,5,10:00am,6:00pm,Acupuncture; Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
194,Dewi Gangga Spa,reservation@puriganggaresort.com,+62 361 902 222,"Desa Sebatu Gianyar, Bali",https://www.puriganggaresort.com/,Ubud,3,3,10:00am,6:00pm,Aromatherapy; Facial; Male Masseuse; Manicure Pedicure; Reflexology
195,Bali Botanica Spa,info@balibotanica.com,+62 361 976 739,"Jl. Sanggingan, Ubud, Bali",http://www.balibotanica.com,Ubud,2,4,9:00am,9:00pm,Massage; Facial; Manicure Pedicure
196,Bliss Spa,blissubud@gmail.com,+(62 361) 97 92 72,"Jl. Raya Sanggingan, Lungsiakan, Ubud, Bali",http://www.blissubud.com,Ubud,2,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Waxing; Aromatherapy; Facial; Manicure Pedicure; Reflexology
197,Jaens Spa,jaensspaubud@gmail.com,+62 821-4443-9147,"Jl. Raya Pengosekan Ubud, Ubud, Gianyar, Bali 80571",https://jaensspa.com/,Ubud,2,4,9:00am,9:00pm,Massage; Facial; Aromatherapy
198,Jiwa Raga Spa & Wellness,info@gaiada.com,+(62 361) 207 40 03,"Jalan Hanoman, Ubud (Behind Perama Shuttle Bus), Ubud, Bali",https://www.gaiada.com/,Ubud,1,5,10:00am,6:00pm,Female Masseuse; Massage
200,Karsa Spa,karsaspa@gmail.com,+62 8135 3392 013,"Behind Karsa Kafe on the Campuhan Ridge, Ubud",http://www.karsaspa.com/,Ubud,2,5,10:00am,6:00pm,Female Masseuse; Massage; Reiki
201,Taksu Spa,reservations@taksuspa.com,+(62 361) 97 14 90,"Jalan Goutama Selatan, Ubud, Bali",http://www.taksuspa.com/,Ubud,3,4,10:00am,6:00pm,Acupuncture; Female Masseuse; Massage; Aromatherapy; Reflexology; Facial
203,Tamarind Spa,jonathan@murnis.com,+(62 361) 97 09 23,"Jalan Raya Ubud, Bali",http://www.murnis.com/index.php/tamarind-spa,Ubud,3,4,10:00am,6:00pm,Female Masseuse; Massage
204,Midas Spa and Salon,booking@midasubud.com,+62 361 978550,"Jl. Raya Ubud Next to Betelnut Restaurant, Ubud",http://www.midasspaubud.com/,Ubud,2,5,10:00am,6:00pm,Female Masseuse; Hairdresser; Massage; Waxing; Facial; Manicure Pedicure; Reflexology
205,Pertenin Body Care,info@pertenin.com,+(62 361) 97 28 34,"Jl. Jatayu, Padang Tegal Kelod, Ubud, Bali",http://www.pertenin.com/,Ubud,1,5,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
206,Putri Bali Spa,info@putribalispa.com,+(62 361) 978 960,"Jalan Raya Sanggingan, Ubud, Bali",http://www.putribalispa.com/,Ubud,2,4,10:00am,6:00pm,Female Masseuse; Hairdresser; Massage; Waxing
207,Spa at The Samaya,spa@thesamayabali.com,+62 361 973606,"Banjar Baung, Desa Sayan - Ubud",https://thesamayabali.com/ubud/,Ubud,4,5,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Waxing; Aromatherapy; Manicure Pedicure; Reflexology
208,Sang Spa Jembawan,reservation@sangspaubud.com.,+62 361 908 0051,"Jl Jembawan # 13 B, Padang Tegal, Ubud, Bali",https://www.sangspaubud.com/,Ubud,2,4,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
209,Sang Spa Monkey Forest,reservation@sangspaubud.com.,+(62 361) 927 73 33,"Jalan Monkey Forest Padang Tegal, Ubud, Bali",http://www.sangspaubud.com/sang-spa-3.html,Ubud,2,4,10:00am,6:00pm,Female Masseuse; Massage
212,Taksu Healing Haven,info@taksuspa.com,+(62 361) 97 14 90,"Jalan Goutama Selatan, Ubud",http://www.taksuhealinghaven.com/,Ubud,4,5,10:00am,6:00pm,Female Masseuse; Massage; Meditation
213,Soori Spa,reservations@sooribali.com,+(62 361) 894 63 88,"Banjar Dukuh, Desa Kelating, Kerambitan, Tabanan",http://sooribali.com/spa,Tabanan,5,4,10:00am,6:00pm,Female Masseuse; Massage; Meditation; Waxing; Facial; Manicure Pedicure; Reflexology
215,Spa Bali Padma,info@gaiada.com,+(62 361) 761861,"Jl. Padma Utara, Legian, Bali",http://www.spabali.asia/padma.php,Legian,2,4,10:00am,6:00pm,Hairdresser; Massage; Waxing
216,Usadha Spa,info@legianbeachbali.com,+(62 361) 75 17 11,"Jl. Melasti Legian, Bali",http://www.legianbeachbali.com/spa.html,Legian,4,4,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy
218,Puspa Bali Spa,rsvobali@jayakartahotelsresorts.com,+(62 361) 75 14 33,"Jl. Werkudara, PO BOX 3244, Legian",http://bali.jayakartahotelsresorts.com/,Legian,3,3,10:00am,6:00pm,Female Masseuse; Massage
219,Shinta Spa,info@adiramabeachhotel.com,+(62 362) 417 59,"Jalan Raya Singaraja-Seririt, Kaliasem - Lovina Beach",http://www.adiramabeachhotel.com/,Lovina,2,3,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure
220,Spa Venus,marketing@villakubu.com,+(62 361) 73 89 05,"Jl. Raya Seminyak, Gang Plawa No. 33F, Seminyak, Bali",http://www.spavenusbali.com,Seminyak,2,3,10:00am,6:00pm,Hairdresser; Massage; Reiki; Facial; Female Masseuse; Reflexology
221,Bali Orchid Spa,info@baliorchidspa.com,+(62 361) 847 33 38,"Jln By Pass Ngurah Rai No 108 Suwung Kauh, Denpasar, Bali",https://www.gaiada.com/,Denpasar,3,3,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
222,Spa Alila,seminyakspa@alilahotels.com,+(62 363) 410 11,"Jalan Raya Buitan, Desa Buitan, Manggis, Karangasem, Bali",https://www.alilahotels.com/seminyak/spa-alila#snap-0,Seminyak,4,4,10:00am,6:00pm,Ayuverda; Hairdresser; Massage; Reflexology; Manicure Pedicure
223,Spa2u,info@balispa2u.com,+(62  361) 73 71 89,"Jl. Raya Kerobokan No. 72 Banjar Taman, Kuta, Bali",http://www.balispa2u.com/,Seminyak,2,5,10:00am,6:00pm,Female Masseuse; Massage; Facial
224,M2spa,mgr.m2spa@rcoid.com,+(62 361) 473 75 93,"Jl. Petitenget no. 41 B Kerobokan, Bali",http://www.m2spabali.com/,Seminyak,3,4,10:00am,6:00pm,Gay Friendly; Male Masseuse; Massage; Reflexology; Facial
225,Antique Spa Bali,antiquebali@gmail.com,+(62 361) 742 35 80,"Jl. Dukuh Indah ( near umalas stable ), Br. Semer, Umalas, Kerobokan, Bali",http://www.antiquebali.com/spa-gallery.asp,Seminyak,2,4,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
226,Bali Ratu,support@artinicottage.com,+(62 361) 742 56 12,"JL Raya Pengosekan Ubud, Bali",http://www.baliratuspa.com/company-profile-ubud/,Tabanan,2,3,10:00am,6:00pm,Female Masseuse; Massage
227,Murano Spa,muranospa@gmail.com,+(62 361) 73 81 40,"Jl. Dewi Saraswati III (kunti II), Seminyak, Bali",http://www.muranospa.com,Seminyak,1,4,10:00am,6:00pm,Female Masseuse; Massage; Waxing; Facial; Manicure Pedicure; Reflexology
229,Body Temple Ocean Spa,oceanspa@bodytemplebali.com,+(62) (0) 856 380 7806,"Jl. Pantai Berawa, Canggu, Bali",http://bodytemplebali.com,Canggu,4,4,10:00am,6:00pm,Female Masseuse; Massage; Waxing; Facial; Manicure Pedicure; Reflexology
230,Luvia Spa,reservation@lluviaspabali.com,+(62 361) 8475903,"Sunset Road 28, Seminyak, Bali",https://lluviaspabali.com,Seminyak,3,4,10:00am,6:00pm,Female Masseuse; Massage
232,Aspya Day Spa,bookings@aspyabali.com,+(62 361) 73 28 96,"Jalan Drupadi No.23, Seminyak, Bali",http://aspyabali.com/,Seminyak,2,5,10:00am,6:00pm,Female Masseuse; Hairdresser; Massage; Waxing; Aromatherapy; Facial; Manicure Pedicure; Reflexology
233,Reflexology Bali,info@reflexologybali.com,+62 8123 7210 242,"Jl. Dewi Sita,Padangtegal, Ubud, Bali",https://www.reflexologybali.com/,Ubud,2,4,10:00am,6:00pm,Massage; Manicure Pedicure; Reflexology; Facial
234,Glo Day Spa & Salon,info@glospabali.com,+(62 361)73 86 89,"Kunti Plaza, Jalan Kunti 119, Seminyak, Bali",https://www.gaiada.com/,Seminyak,3,3,10:00am,6:00pm,Female Masseuse; Hairdresser; Massage; Facial; Manicure Pedicure; Reflexology
235,Glo Day Spa,reservationgsb@glo-day-spa.com,+(62) 828 97 01 56 00,"Sandy Bay Beachfront Estate, Sunset Beach, Nusa Lembongan",http://www.sandybaylembongan.com/glospa.html,Nusa Lembongan,3,4,10:00am,6:00pm,Female Masseuse; Hairdresser; Massage; Waxing; Facial; Manicure Pedicure; Reflexology
236,Bodyworks,bookings@bodyworksbali.com,+62 361 733317,"Jalan kayu Jati No 2, Petitenget, Seminyak, Bali",http://www.bodyworksbali.com/,Seminyak,2,4,10:00am,6:00pm,Female Masseuse; Massage; Waxing; Aromatherapy; Facial; Manicure Pedicure; Reflexology
237,Glo Day Spa & Salon Sanur,info@glospabali.com,+(62 361) 28 28 26,"Jalan Danau Poso 57, Sanur, Bali",http://www.glospabali.com/,Sanur,2,4,10:00am,6:00pm,Female Masseuse; Hairdresser; Massage; Waxing; Facial; Manicure Pedicure; Reflexology
238,Serenity Spa & Salon,info@gaiada.com,+(62 361) 846 68 88 ext.1801,"Jalan Bukit Permai, Le Meridien Bali Jimbaran level 2, Jimbaran, Bali",http://www.lemeridienbalijimbaran.com/serenity-spa,Seminyak,4,5,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
239,Chaya Spa,spa@kamandaluresort.com,+(62 361) 97 58 25,"Jalan Andong, Banjar Nagi, Ubud, Bali",http://www.kamandaluresort.com/spa.html,Ubud,4,4,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
242,Bamboo Spa by L\,spa@kupujimbaran.com,+(62 361) 70 33 42,"Jl. Raya Uluwatu, Banjar Pesalakan, Jimbaran, Bali",http://www.kupujimbaran.com/spabyloccitane/,Sanur,4,3,10:00am,6:00pm,Female Masseuse; Massage
243,Mango Tree Spa,mangotreespa@sudamalaresorts.com,+(62 361) 97 54 78,"Kedewatan, Ubud, Bali",http://www.sudamalaresorts.com/,Lombok- Senggigi,3,3,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure
244,Bamboo Spa,info@gaiada.com,+(62 361) 73 20 29,"Jl. Kunti No 7B, Seminyak, Bali",https://www.gaiada.com/,Seminyak,3,3,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
245,La Vie Spa,reservation@lavie-bali.com,+(62 361) 912 11 33,"Jl.Kampus No.18L, Jimbaran, Bali",http://www.lavie-bali.com/,Nusa Dua,2,4,10:00am,6:00pm,Female Masseuse; Massage; Reflexology
246,Palm Garden Spa,info@palmgardenamed.com,+(62) 82 897 69 18 50,"Lean Village, Bunutan Abang, Karangasem, Bali",http://www.palmgardenamed.com/,Amed,2,3,10:00am,6:00pm,Female Masseuse; Massage; Manicure Pedicure
247,Spa Aquaterrace,aquaterrace.amed@gmail.com,+(62) 81 33 79 110 96,"Selang Bunutan Amed, Karangasem, Bali",http://bbamed.exblog.jp/i14,Amed,2,5,10:00am,6:00pm,Female Masseuse; Massage; Facial
248,Andre Spa,info@andrebalispa.com,+(62 363) 420 93,"Jl Raya Buitan Candidasa, Manggis, Bali",http://www.andrebalispa.com/,Candidasa,2,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage
